                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                       10398      5.0000000000000000E+000      1.0000000000000000E+001      1.0000000000000000E+000 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              50          1.7843344760618467E+007          9.4241811479954540E-001          9.9734699598614096E+000          3.5708720176250546E+002          1.7854360088125273E+002          3.1993706816384129E+000          4.3883690452431905E+000         -7.7341493872450540E-002         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -5.8831363004280206E+001         -6.2097834230458631E+001         -6.2123410491682321E+001         -9.8999999999999986E+001         -6.3340506855854024E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.4652773385760542E+053         -1.0895167762734088E+037         -1.0405352064257468E+037         -4.8981569847662056E+035         -1.1898048757864512E-019          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              55          2.0211682333555620E+007          9.3271007148130680E-001          9.9048593119828130E+000          3.5832183327778750E+002          1.7916091663889375E+002          3.1773612008704926E+000          4.3581800694367514E+000         -5.8584137829845458E-002         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -4.5494838023237840E+001         -4.7810628836695656E+001         -4.7836205097919347E+001         -9.8999999999999986E+001         -4.9053301462091042E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.4567829940694016E+053         -1.1689072462186691E+037         -1.1186627364400170E+037         -5.0244509778652105E+035         -2.2966865227047167E-005          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              60          2.1917438204177208E+007          9.2533337932850435E-001          9.8525659996789408E+000          3.5927148629926910E+002          1.7963574314963455E+002          3.1605861275104585E+000          4.3351707904284318E+000         -4.4437798266803823E-002         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -3.5946937143465711E+001         -3.7616701962737444E+001         -3.7642278223961135E+001         -9.8999999999999986E+001         -3.8859374588132830E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.4502890431648229E+053         -1.2319603054471987E+037         -1.1807240829249166E+037         -5.1236222522282114E+035         -3.5794471495484607E+005          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              65          2.3162176723636746E+007          9.1973091160608100E-001          9.8127572596914820E+000          3.5999950131031932E+002          1.7999975065515966E+002          3.1478159566369897E+000          4.3176547761431161E+000         -3.3756754234897837E-002         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -2.9010820916659174E+001         -3.0224417378386452E+001         -3.0249993639610143E+001         -9.8999999999999986E+001         -3.1467090003781838E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.4453339051761780E+053         -1.2814474491696384E+037         -1.2294391893970585E+037         -5.2008259772579927E+035         -8.8139919669650957E+012          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              70          2.4080017131220553E+007          9.1547403494216217E-001          9.7824556530176867E+000          3.6055662772580052E+002          1.8027831386290026E+002          3.1380955611889818E+000          4.3043219408025992E+000         -2.5662706855444712E-002         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -2.3903684748970083E+001         -2.4799058203736809E+001         -2.4824634464960500E+001         -9.8999999999999986E+001         -2.6041730829132199E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.4415554137867996E+053         -1.3200407774464105E+037         -1.2674349087789985E+037         -5.2605868667411968E+035         -2.3432735254513638E+018          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              75          2.4762214123807911E+007          9.1223776875274054E-001          9.7593875948504216E+000          3.6098249626003405E+002          1.8049124813001703E+002          3.1306956021697343E+000          4.2941718974573542E+000         -1.9514224757662971E-002         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -2.0106712706334360E+001         -2.0779118815785914E+001         -2.0804695077009605E+001         -9.8999999999999986E+001         -2.2021791441181303E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.4386749926137731E+053         -1.3499931352272495E+037         -1.2969264730815480E+037         -5.3066662145699125E+035         -2.4503114623070622E+022          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              80          2.5271056972862333E+007          9.0978231324794112E-001          9.7418669394801185E+000          3.6130696223763823E+002          1.8065348111880760E+002          3.1250751840664126E+000          4.2864627348501276E+000         -1.4859701870649972E-002         -1.0000000000000000E+000          4.9999999999997842E+000          1.0000000000000204E+001         -1.7278723359709502E+001         -1.7777777060054127E+001         -1.7803353321277818E+001         -9.8999999999999986E+001         -1.9020449685449510E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206258E-001          2.4364849792781921E+053         -1.3730504476185616E+037         -1.3196302475949377E+037         -5.3420200021168207E+035         -2.4555630218994255E+025          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              85          2.5654218276738126E+007          9.0790933797748186E-001          9.7284919141512525E+000          3.6155524481041215E+002          1.8077762240091596E+002          3.1207846348131598E+000          4.2805776670488225E+000         -1.1311403883879280E-002         -1.0000000000000000E+000          4.9999999999193578E+000          1.0000000000076030E+001         -1.5149046503831508E+001         -1.5149046503831508E+001         -1.5174622765055364E+001         -9.8999999999999986E+001         -1.6391719129224168E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158170409E-001          2.4348118276135348E+053         -1.3908425232031630E+037         -1.3371505293356734E+037         -5.3691992823810956E+035         -1.0436786078381498E+028          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              90          2.5946726219997093E+007          9.0646532732493257E-001          9.7181738703322811E+000          3.6174713041542634E+002          1.8087356503299441E+002          3.1174747281921551E+000          4.2760376848607065E+000         -8.5776452732253487E-003         -1.0000000000000000E+000          4.9999999967175182E+000          1.0000000003094753E+001         -1.3523478864139586E+001         -1.3523478864139586E+001         -1.3549055125371732E+001         -9.8999999999999986E+001         -1.4766151489395579E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904156370682E-001          2.4335203028912948E+053         -1.4046084441502115E+037         -1.3507077165908435E+037         -5.3900683514659348E+035         -4.4044708767489303E+029          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              95          2.6213918239871088E+007          9.0513542932293700E-001          9.7086663591121845E+000          3.6192421641090630E+002          1.8096210295754582E+002          3.1144248095797100E+000          4.2718543638682061E+000         -6.0621103193670032E-003         -1.0000000000000000E+000          4.9999999014545828E+000          1.0000000092909509E+001         -1.2039265056908032E+001         -1.2039265056908032E+001         -1.2064841318387643E+001         -9.8999999999999986E+001         -1.3281937678084498E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904102648588E-001          2.4323296033323744E+053         -1.4171200731202786E+037         -1.3630325348054972E+037         -5.4086195876369161E+035         -1.3424384122173432E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
